Timestamp,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
07/03/2026 14:42:40,Coni: Detecting Database Connector Bugs via State-Aware Test Case Generation,Jed,10.1109/ICSE55347.2025.00003,https://github.com/THU-WingTecher/Coni,2025,ICSE,Tsinghua University,Test generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/THU-WingTecher/Coni,"No DOI, github cited in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Artefact Unavailable,No: no datasets used,No: infeasible,"I1: Could not tell, software uses some txt files for configuration; I2: No other objects referenced",Yes,"README, LICENSE, citation within readme",Yes,No,Yes,No,pom.xml (Maven / Java),No,,Docker,Yes,No,"R1: README perhaps not detailed enough to qualify this point, could see it going either way for R1; R2: SOME qualified references to external libraries; R3: No code commenting; Possible to reproduce question: The README doesn't contain enough information in my opinion for me to be confident in my ability to reproduce the results.","No DOI, github repo, weak metadata",00:13:00
07/03/2026 15:05:09,PUPPY: Finding Performance Degradation Bugs in DBMSs via Limited-Optimization Plan Construction,Jed,10.1109/ICSE55347.2025.00045,,2025,ICSE,Tsinghua University,Software Testing,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,"I couldn't find a repository for the tool, although the paper definitely implies that one should exist.",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Couldnt find an artefact, though the paper mentions an automated approach and applies it to generate results, which should produce an artefact.",00:05:00
07/03/2026 15:06:08,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Freddie,10.1109/ICSE55347.2025.00179,https://github.com/selab-gatech/AutoRestTest/,2025,ICSE,"Georgia Institute of Technology, IBM",AI and Testing,,Yes,No,,No,No,No,No,No,Yes,https://github.com/selab-gatech/AutoRestTest/,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,Yes,Works with numerous LLMs,Yes,README only but is very detailed,Yes,Yes,Yes,No,"requirements.txt (pip), pyproject.toml, poetry.lock, configurations.toml",Yes,,Docker,Yes,No,"R3: readable but not very well documented
Needs LLM API key",,08:02:00
07/03/2026 15:19:57,Clozemaster: Fuzzing Rust Compiler by Harnessing Llms for Infilling Masked Real Programs,Freddie,10.1109/ICSE55347.2025.00175,https://github.com/clozeMasterPro/clozeMaster,2025,ICSE,Nanjing University,AI and security,Artefact Available,Yes,No,,No,No,No,No,No,Yes,https://github.com/clozeMasterPro/clozeMaster,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,Detailed enough README,Yes,Yes,Yes,No,requirements.txt (pip),No,,Docker,Yes,Yes,R3: code is readable but there is a lack of comments and docstrings,,07:35:00
07/03/2026 15:28:55,Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,Jed,10.1109/ICSE55347.2025.00009,https://github.com/pppppkun/falcon,2025,ICSE,"Nanjing University, Samsung Electronics","Industrial software debugging, fault localization, contrastive learning",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,https://github.com/pppppkun/falcon,"The github does not contain any of the software used to produce the results, only a table of experimental data.",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"The 'falcon' framework mentioned in the paper was not findable, the github provided only contained a results table",00:06:00
07/03/2026 15:54:05,Who's Pushing the Code? An Exploration of GitHub Impersonation,Jed,10.1109/ICSE55347.2025.00065,https://github.com/zyueek/ICSE25_github,2025,ICSE,"Vanderbilt University, Southern University of Science and Technology","Open-Source Software, Impersonation",,Yes,No,,No,No,No,No,No,Yes,https://github.com/zyueek/ICSE25_github,"The paper describes a dataset and doesnt really imply a software artefact, but the scripts contained in the results repository are quite extensive and qualify as an artefact in my opinion. Couldn't find a DOI for the artefact.",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I2: No external datasets used,No,Short README explaining the basic functionality of each script,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,Yes,"R1: Not enough data in the README, and no citation or license; R2: No references to external software; R3: Not enough code commenting or documentation","Honestly on the fence on this one; the main output of the study is the dataset, and the provided scripts are less of a major tool and more of just a side product, so the weak FAIR compliance is kind of excusable in this case. If you mark the paper as not containing a software artefact then it kind of allows for this, but that ignores that the paper DOES produce scripts that were used in getting the results. But then, it feels like because the authors went a bit further than necessary in providing the scripts, they are now being penalised in the study, whereas if they had simply not provided the scripts, they would not have been penalised, which feels wrong if that makes sense? Not sure, anyway I think this is an interesting case.",00:15:00
07/03/2026 16:05:11,Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,Jed,10.1109/ICSE55347.2025.00056,https://figshare.com/s/9b0763fac157e95493be?file=45118702,2025,ICSE,"Colorado State University, Oregon State University, Northern Arizona University","challenges, OSS, diversity, open source, OSS, toxicity, inclusivity, belonging, welcomeness",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Provided repository contains a dataset only, no indication of any software artefact used in the study.",00:05:00
07/03/2026 16:34:56,Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak Attacks,Jed,10.1109/ICSE55347.2025.00209,https://zenodo.org/records/14854154,2025,ICSE,"Nanyang Technological University, Huazhong University of Science and Technology, ","Cybersecurity, LLMs",Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14854154,Yes,Yes,Yes,Yes,Yes,No,,"F1.2: Version 1 of the software requires authentication to access for some reason, a bit weird. No github found",Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: No external datasets used,Yes,"README, LICENSE",Yes,Yes,Yes,No,requirements.txt (pip),No,,,No,Yes,"Amusingly, the software artefact file size is smaller than the license file size (both ~10kb)
R1:README containing provenance etc; R2: Debatable, readme does mention external code used from prior research; R3: Not very good quality code - one massive file, not many comments; 3RD party tools: Doesnt MENTION needing an LLM key, implies that by default it runs without one? '(defaults to `Llama-2-7b-chat-hf`)' I could be mistaken though. ","Zenodo artefact repository, code could be better quality, decent README + metadata",00:12:00
07/03/2026 17:28:19,Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning Software,Jed,10.1109/ICSE55347.2025.00122,https://github.com/chenzhenpeng18/ICSE25-FairHOME,2025,ICSE,"Nanyang Technological University, Peking University, King’s College London, University College London, China-Singapore International Joint Research Institute","Machine learning, intersectional fairness, input mutation, output ensemble",,Yes,No,,No,No,No,No,No,Yes,https://github.com/chenzhenpeng18/ICSE25-FairHOME,Could not find a DOI for the software artefact,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Software metadata does not describe how to retrieve the artefact, but does describe how to install the required software to run it",No,Yes,No: infeasible,"I1: Seems to use txt files for input/output? Like tables contained in a txt file, rather than a CSV form. Imo not appropriate; I2: Qualified reference to the dataset used.",Yes,"README, citation within README",No,No,Yes,No,,No,,,Yes,No,"R1.1: Couldnt see an immediately accessible license?; R2: Good qualified references to AIF360, which is a piece of software used for this project; R3: Not enough code commenting in my opinion; 3RD party tools: technically DOES require 3rd party tool but its not a barrier to use of the artefact (i.e. tool isnt paywalled)","Decent metadata, no DOI, weird project directory organisation, use of txt files to store data, not confident in reproducibility. Not very FAIR compliant",00:12:00
07/03/2026 17:41:40,HIFI: Explaining and Mitigating Algorithmic Bias Through the Lens of Game-Theoretic Interactions,Jed,10.1109/ICSE55347.2025.00221,https://zenodo.org/records/14564985,2025,ICSE,East China Normal University,"algorithmic bias, fairness, bias mitigation, gametheoretic interaction, explainable artificial intelligence",Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14564985,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/LingfengZhang98/HIFI,"F1.2: Only one version of the software discussed in the paper, so no need for seperate DOIs for different versions",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: Pretty sure no external databases used,Yes,"README, LICENSE",Yes,No,Yes,Yes,,No,"Docstrings, Inline comments",,Yes,Yes,"R2: Qualified reference to the external toolkit AIF360 and other software; R3: Great commenting! ; 3rd party tools: Uses external software, but nothing requiring payment or otherwise making it difficult to use.","Refreshingly high quality software artefact. DOI, good all round. Very FAIR!",00:11:00
07/03/2026 17:44:44,Relationship Status: “It's Complicated” Developer-Security Expert Dynamics in Scrum,Jed,10.1109/ICSE55347.2025.00120,,2025,ICSE,Ruhr University Bochum,"Agile, Scrum, Security, Developers, Security Experts, Collaboration, Relationship",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No artefact to be found,00:03:00
07/03/2026 17:50:26,Measuring the Runtime Performance of C++ Code Written by Humans Using Github Copilot,Jed,10.1109/ICSE55347.2025.00059,https://zenodo.org/records/13139261,2025,ICSE,University of Waterloo,LLM Assisted Programming,"Artefact Available, Artefact Functional, Artefact Reusable",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"While there ARE scripts included in the replication package, these are the scripts given to the study participants as part of the survey, and as such were not used DIRECTLY to generate the results. Essentially, the scripts provided are programming tasks, and in my opinion should be treated like questions on a questionnaire would be. For that reason, I don't consider them a SOFTWARE artefact, as they are not designed for use outside of the survey, and are just provided as part of the methodology. Happy to discuss this one since it seems to be a bit of an edge case.",00:04:00
08/03/2026 13:36:27,LLM Based Input Space Partitioning Testing for Library APIs,Freddie,10.1109/ICSE55347.2025.00153, https://github.com/ FudanSELab/LISP,2025,ICSE,"Fudan University, Nanyang Technological University",AI and testing,"Artefact Available, Artefact Functional",Yes,No,,No,No,No,No,No,Yes,https://github.com/FudanSELab/LISP,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,Yes,"I1: yes for the most part, but LLM prompt files are named and formatted in a nonstandard way
AFAIK you should be able to test it on whatever API",Yes,Multiple READMEs,No,Yes,Yes,Yes,pom.xml (Maven / Java),Yes,"Docstrings, Inline comments",,Yes,Yes,Needs OpenAI API key,,07:41:00
08/03/2026 13:50:37,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,Freddie,10.1109/ICSE55347.2025.00032,"https://doi.org/10.5281/zenodo.13329464,https://github.com/amirdeljouyi/UTGen",2025,ICSE,Delft University of Technology,AI and testing,"Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14891802,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/amirdeljouyi/UTGen,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,No,Infeasable,"There is an informational website but the tool itself is not on there
Only docker reproduction packages are available",Yes,No: no datasets used,No: infeasible,,Yes,Detailed README,Yes,Yes,Yes,No,,No,,Docker,No,No,"R3 unable to assess
Results for each RQ are provided but no instructions on how to reproduce",,09:01:00
08/03/2026 14:21:48,exLong: Generating Exceptional Behavior Tests with Large Language Models,Freddie,10.1109/ICSE55347.2025.00176, https://github.com/EngineeringSoftware/exLong,2025,ICSE,"University of Texas at Austin, University of Waterloo",AI and testing,Artefact Available,Yes,No,,No,No,No,No,No,Yes, https://github.com/ EngineeringSoftware/exLong,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: dataset must be either downloaded or imported through huggingface and is not included within the source code,Yes,"README, REPLICATION.md",Yes,Yes,Yes,Yes,"requirements.txt (pip), pyproject.toml",No,"Docstrings, Inline comments",,Yes,Yes,,,09:00:00
09/03/2026 20:06:48,TOGLL: Correct and Strong Test Oracle Generation with LLMS,Freddie,10.1109/ICSE55347.2025.00098,https://figshare.com/articles/dataset/Artifact_TOGLL_Correct_and_Strong_Test_OracleGeneration_with_LLMs/28282721?file=51939686,2025,ICSE,University of Virginia,AI and testing,Artefact Available,Yes,Yes,https://doi.org/10.6084/m9.figshare.28282721,No,Yes,Yes,Yes,Yes,No,,"They said in the paper ""we will make this tool available"" and then didn't cite it
The archive is 6GB which likely either means they've got a large artefact or they've included the dataset in there and not met F1.1",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: based on the paper I'd say its fine
I2: dataset is included in the archive",No,README only and it's a pdf rather than the standard markdown,Yes,Yes,Yes,No,pyproject.toml,No,,,No,Yes,R3: can't say for certain without downloading the zip,,11:31:00
09/03/2026 20:14:44,Answering User Questions About Machine Learning Models Through Standardized Model Cards,Freddie,10.1109/ICSE55347.2025.00066,https://github.com/asgaardlab/hf-question-answer,2025,ICSE,University of Alberta,Software Engineering for AI,,Yes,No,,No,No,No,No,No,Yes,https://github.com/asgaardlab/hf-question-answer,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,Detailed README,No,Yes,Yes,Yes,requirements.txt (pip),No,,,Yes,Yes,R3: code is readable but could do with some comments,,06:40:00
09/03/2026 20:26:52,Fairness Testing Through Extreme Value Theory,Freddie,10.1109/ICSE55347.2025.00070,https://figshare.com/s/5b4fe7b676e1f7f7b107?file=45224347,2025,ICSE,,,,Yes,No,,No,No,No,No,No,Yes,,Very very bare bones figshare with a 1.32GB rar file,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: assumption but dataset used seems to be in standard format
I2: dataset included in package",Yes,README only,Yes,No,Yes,Yes,requirements.txt (pip),No,Docstrings,Docker,No,Yes,Codebase is a bit messy but there is a guide on how to reproduce evaluation,,09:42:00
10/03/2026 12:04:48,THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,william,10.1109/ICSE55347.2025.00257,,2025,ICSE,"National University of Defense Technology,",Databases and business,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,09:00:00
10/03/2026 12:14:19,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,william,10.1109/ICSE55347.2025.00129,https://github.com/Lezhi-Ma/SpecGen-Artifact,2025,ICSE,"Nanjing University,",NIER,,Yes,No,,No,No,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,,No,No,Yes,Infeasable,,No,No: no datasets used,No: infeasible,data is written,No,readme,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,,,Yes,Yes,,,06:00:00
10/03/2026 12:26:03,Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification,william,10.1109/ICSE55347.2025.00116,https://github.com/chenpp1881/Gpass,2025,ICSE,Peking University,NIER,,Yes,No,,No,No,No,No,No,Yes,https://github.com/chenpp1881/Gpass,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,No,Infeasable,,Yes,Yes,No but no clear constraints not to,uses pickle files,No,README,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,Docstrings,,Yes,Yes,,,10:20:00
10/03/2026 12:55:43,Formally Verified Binary-Level Pointer Analysis,william,10.1109/ICSE55347.2025.00231,https://ssrg-vt.github.io/FoxDec/,2025,ICSE,Open Universiteit & Virginia Tech,NIER,Artefact Available,Yes,No,,No,No,No,No,No,No,https://ssrg-vt.github.io/FoxDec/,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,No,Yes,No: infeasible,,No,readme,Yes,Yes,Yes,Yes,Gemfile (Ruby),Yes,Inline comments,Docker,Yes,Yes,,"extremely hard to find, available is a generous term",13:15:00
10/03/2026 13:14:28,Fixing Large Language Models' Specification Misunderstanding for Better Code Generation,Freddie,10.1109/ICSE55347.2025.00108,https://github.com/tianzhaotju/muFiX,2025,ICSE,Tianjin University,LLM code generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/tianzhaotju/muFiX,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: you have to externally download the dataset yourself,Yes,Detailed enough README,Yes,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",,Yes,Yes,,,06:58:00
10/03/2026 14:00:29,SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,Freddie,10.1109/ICSE55347.2025.00140,https: //anonymous.4open.science/r/FlowGen-LLM-E842,2025,ICSE,DePaul University,LLM and code generation,,Yes,No,,No,No,No,No,No,Yes,,GitHub has been anonymised,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: dataset unavailable within repository,Yes,Detailed enough README,No,No,Yes,No,requirements.txt (pip),Yes,,,No,No,"R3 code readable but some commented out debug lines and commented out blocks of code
Needs OpenAI API key
They give their eval results but unclear how to reproduce",,07:50:00
10/03/2026 14:18:02,Dockerfile Flakiness: Characterization and Repair,Freddie,10.1109/ICSE55347.2025.00238,https://github.com/flakidock/docker-flakiness-study,2025,ICSE,University of British Columbia,LLMs in SE,,Yes,No,,No,No,No,No,No,Yes,https://github.com/flakidock/docker-flakiness-study,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"Multiple READMEs, one for the tool, one for the dataset",No,Yes,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R3: software is readable and has inline comments where appropriate
Needs numerous API keys",,06:26:00
10/03/2026 16:31:01,A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,Jed,10.1109/ICSE55347.2025.00167,https://zenodo.org/records/14867373,2025,ICSE,Carnegie Mellon University,"Rust, interoperation, undefined behavior, aliasing, bugs, foreign functions","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14867373,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/icmccorm/mirilli,F1.1: Dataset is small enough to not require a separate identifier,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"README, appendix, dataset.md, usage.md",Yes,Yes,Yes,Yes,,No,,Docker,Yes,Yes,"R3: Source code could do with more comments, but the documentation is very strong.",Exceptionally good submission - this should be the standard,00:10:00
10/03/2026 17:28:39,Cooperative Software Verification via Dynamic Program Splitting,Jed,10.1109/ICSE55347.2025.00092,https://zenodo.org/records/13142908,2025,ICSE,"Universitat Oldenburg, Institute of Science and Technology Austria, LMU Munich","Software verification, cooperation, program splitting, off-the-shelf tools","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14859021,Yes,Yes,Yes,Yes,Yes,Yes,,No github,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: Software uses .yml files, not fully sure if these are domain relevant",Yes,Multiple READMEs at different program depths,Yes,No,No: program uses external libraries but are not referenced appropriately,No,,No,,Docker,Yes,Yes,R2: No qualified references in the metadata; R3: Could use more comments,"Very large project so kind of hard to navigate, some questions may be incorrect as a result",00:15:00
11/03/2026 11:00:04,Evaluating Garbage Collection Performance Across Managed Language Runtimes,Freddie,10.1109/ICSE55347.2025.00218,,2025,ICSE,"University of Chinese Academy of Sciences, Nanjing Institute of Software Technology",Garbage collection,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:21:00
11/03/2026 11:08:08,Module-Aware Context Sensitive Pointer Analysis,Freddie,10.1109/ICSE55347.2025.00227,,2025,ICSE,"Institute of Computing Technology, University of Chinese Academy of Sciences",Pointer analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"for the life of me I cannot find the artefact, sorry",06:12:00
11/03/2026 11:17:11,Code Comment Inconsistency Detection and Rectification Using a Large Language Model,Freddie,10.1109/ICSE55347.2025.00035,https://github.com/aiopsplus/C4RLLaMA,2025,ICSE,"Nanjing University, Southern Cross University, Zhongxing Telecom Equipment",AI and general SE practices,,Yes,No,,No,No,No,No,No,Yes,https://github.com/aiopsplus/C4RLLaMA,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,Short README,Yes,No,Yes,Yes,requirements.txt (pip),No,,,Yes,No,"R1.2. it has 3 commits so I wouldn't count it as ""detailed""
R3. code is readable but lacks comments which is ironic because that's the main focus of the paper",,08:42:00
12/03/2026 12:26:33,Context Conquers Parameters: Outperforming Proprietary Llm in Commit Message Generation,Freddie,10.1109/ICSE55347.2025.00048,https://github. com/aaron-imani/omega,2025,ICSE,University of California Irvine,LLMs in commit message generation,,Yes,No,,No,No,No,No,No,Yes,https://github. com/aaron-imani/omega,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,,Yes,Very detailed README,No,Yes,Yes,Yes,,Yes,,,Yes,Yes,"R3: readable but comments are nonexistent
Needs API keys for LLMs",,14:51:00
12/03/2026 13:24:32,Hedgecode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,Freddie,10.1109/ICSE55347.2025.00008,https://github.com/repo-anonymous/hedgecode,2025,ICSE,University of Luxembourg,Code search,,Yes,No,,No,No,No,No,No,Yes,https://github.com/repo-anonymous/hedgecode,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No but no clear constraints not to,,Yes,Detailed README,No,Yes,Yes,Yes,custom yaml file,No,Inline comments,,Yes,Yes,R3 code readable with some comments,,08:27:00
12/03/2026 13:38:02,Reasoning Runtime Behavior of a Program with LLM: How Far are We?,Freddie,10.1109/ICSE55347.2025.00012,https://github.com/r-eval/REval/tree/2f148b913deb4ae0e0ce41f0245ef35054ede8d6,2025,ICSE,"Zhejiang University, York University, Peking University",LLM evaluation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/r-eval/REval/tree/2f148b913deb4ae0e0ce41f0245ef35054ede8d6,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Yes,They have a cute leaderboard here which summarises their results https://r-eval.github.io/,Yes,No: no datasets used,No: infeasible,I2: there is some data but I wouldn't say it's big enough to qualify as a dataset,No,"README only, fairly simple",No,No,Yes,Yes,requirements.txt (pip),No,Docstrings,,Yes,Yes,,,07:47:00
