Timestamp,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
04/03/2026 16:21:48,Towards Better Answers: Automated Stack Overflow Post Updating,Jed,10.1109/ICSE55347.2025.00024,https://figshare.com/articles/online_resource/Automatic_Post_Updating_zip/25465282?file=45564126,2025,ICSE,"Zhejiang University, Hangzhou City University, The University of Western Australia","Stack Overflow, Large Language Models, Post Updating, Data Quality",,Yes,Yes,https://doi.org/10.6084/m9.figshare.25465282,Yes,Yes,No,Yes,Yes,Yes,,"F1.1: Sufficiently granular, no separate identifier needed; F1.2: Only one version of the software, no need for multiple identifiers; F2: Metadata is lacking, only a license;",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Figshare repository.,Yes,Yes,No: infeasible,"I1: JSON used; I2: README references an external dataset, including author name. Somewhat qualified?",No,README,Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R1: README only, and not much detail; R2: some reference to external software (EG: CodeLlama-13b-instruct) but more detail needed; R3: Decent inline commenting, room for improvement; 3rd party tools: i think you need an LLM key or access to use this software","Figshare repository, weak metadata",00:11:00
04/03/2026 16:34:37,Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,Jed,10.1109/ICSE55347.2025.00082,https://github.com/zhangbuzhang/ObfusEval,2025,ICSE,National University of Defense Technology,"Large Language Model, Code Generation Capability, Code Dataset",,Yes,No,,No,No,No,No,No,No,https://github.com/zhangbuzhang/ObfusEval,"F1, etc: Could not find a DOI for the artefact; PS. repo was very hard to find ",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: XLSX files used, which are machine readable; I2: No external datasets used",No,Readme - too short,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,"R1: Readme lacks detail; R2: No qualified references to external software; R3: Not enough comments, not good enough documentation; 3rd party tools: software tests pre-generated llm code, does not require LLM access as far as i could tell","Repository was hard to find, no DOI, weak metadata",00:12:00
04/03/2026 16:47:23,ConsCS: Effective and Efficient Verification of Circom Circuits,Jed,10.1109/ICSE55347.2025.00200,https://github.com/jinan789/ConsCS,2025,ICSE,Hong Kong Polytechnic University,Circom verification,,Yes,No,,No,No,No,No,No,Yes,https://github.com/jinan789/ConsCS,"no DOI, github linked in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Github repo, readme describes structure of repo",Yes,No: no datasets used,No: infeasible,"I1: Software uses YAML; I2: not fully sure, but dont think external datasets are used",Yes,"README, LICENSE",Yes,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,No,"R1: Readme lacks detail, but LICENSE also present, honestly this could go either way; R2: No qualified references to external software; R3: No comments, weak documentation; 3rd party tools: not fully sure","Github repo, dont think theres a DOI, weak metadata",00:12:00
04/03/2026 16:56:13,Constrained LTL Specification Learning from Examples,Jed,10.1109/ICSE55347.2025.00160,https://github.com/cmu-soda/ATLAS,2025,ICSE,"Carnegie Mellon University, Columbia University, The Pennsylvania State University","Formal methods, model checking","Artefact Available, Artefact Functional",Yes,No,,No,No,No,No,No,No,https://github.com/cmu-soda/ATLAS,"F1, etc: Could not find a DOI after having a good look",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: Don't think external datasets/objects used,Yes,"README, LICENSE",Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,pom.xml (Maven / Java),No,,Docker,Yes,Yes,"R1.2: Debatable whether provenance is detailed enough; R2: No references to external software; R3: Commenting, documentation too weak;","No DOI, metadata a bit lacking",00:09:00
05/03/2026 14:59:01,LLM-Aided Automatic Modeling for Security Protocol Verification,Jed,10.1109/ICSE55347.2025.00197,https://github.com/zerrymore/AutoSM,2025,ICSE,"Zhejiang University, Singapore Management University, Xidian University, East China Normal University","Automatic modeling, Symbolic analysis, LLMs",,Yes,No,,No,No,Yes,No,No,Yes,https://github.com/zerrymore/AutoSM,"F1, etc: No DOI repository found; F2: Good metadata, includes references, mentions multiple contributors, has a license;",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,README describes setup for the artefact,Yes,No: no datasets used,No: infeasible,I1: tool uses JSON; I2: No external datasets used,Yes,"README, LICENSE",Yes,No,Yes,No,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R2: Qualified references to tamarin software; R3: Some comments, but insufficient; 3rd party software: Tamarin prover",Uses 3rd party software in execution in the form of 'Tamarin prover'; but is this something to be penalised?,00:11:00
05/03/2026 17:44:40,Enhancing Code Generation via Bidirectional Comment-Level Mutual Grounding,Freddie,10.1109/ICSE55347.2025.00165,,2025,ICSE,Purdue University,AI for analysis,,Yes,No,,No,No,No,No,No,Yes,https://github.com/NecoraNyaru/PInG,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,"I2: they have a data processing util file but no mention of where or what dataset is being used, maybe it's up to the user? Not sure if I should give this",Yes,README only but is quite detailed,Yes,No,Yes,Yes,,Yes,"Docstrings, Inline comments",,Yes,Yes,"R1.2. provenance is not detailed nor significant enough
Needs a DeepSeek API key (presumably, though not explicitly said)",,08:34:00
05/03/2026 17:56:47,HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation,Freddie,10.1109/ICSE55347.2025.00228,https://github.com/DeepSoftwareAnalytics/HumanEvo,2025,ICSE,"Sun Yat-sen University, Huawei, Chongqing University, Zhuhai Key Laboratory",Code generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/DeepSoftwareAnalytics/HumanEvo,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,"I2: it builds a dataset manually from pull requests, unsure whether this is invalid or not, gone with no",Yes,README only but is detailed,No,No,Yes,Yes,environment.yml (for a conda venv),Yes,"Docstrings, Inline comments",,Yes,Yes,Unclear which model but presumably some kind of LLM API key needed,,11:43:00
06/03/2026 03:26:12,THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,Jed,10.1109/ICSE55347.2025.00001,,2025,ICSE,"National University of Defense Technology,  Tsinghua University","DBMS Testing, Differential Testing, Storage Engine",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,,Cited github link leads to 'page not found'; could not find the repository with a google search,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"The github link in the paper did not work, and no repository was possible to find for the software.",00:05:00
06/03/2026 10:56:33,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,Freddie,10.1109/ICSE55347.2025.00217,https://zenodo.org/records/12793108,2025,ICSE,"Heriot Watt University, FHDW",Agile development,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,"They have made a zenodo for their results but not for the tool itself, marking as artefact unavailable but here is the page https://zenodo.org/records/12793108",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"This one was hard to mark. Although their data and results were FAIR, they had not made the artefact itself available anywhere so I am marking based off FAIR4RS",06:38:00
06/03/2026 11:05:25,LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,Freddie,10.1109/ICSE55347.2025.00186,https://zenodo.org/records/14959101,2025,ICSE,Karlsruhe Institute of Technology,RAG,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14959101,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/ArDoCo/Replication-Package-ICSE25_LiSSA-Toward-Generic-Traceability-Link-Recovery-through-RAG,F1.1. there is a dataset but is small enough for it to be okay to be included,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,Yes,It's integrated with ChatGPT I suppose,Yes,"Multiple READMEs, CITATION.cff, paper preprint",Yes,Yes,Yes,Yes,pom.xml (Maven / Java),Yes,,Docker,Yes,Yes,"R3 not many comments but README is sufficiently detailed and code is readable
Needs an OpenAI API key :(",,08:30:00
